latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,618,12,monocyte,0.75685537,-0.45291123,0.122675225
128,PROT,619,10,macrophage,0.31624553,0.26164338,-0.08202006
128,PROT,620,12,monocyte,0.7580126,-0.43951228,0.12013106
128,PROT,621,12,monocyte,0.7559706,-0.42825505,0.14425343
128,PROT,622,12,monocyte,0.7596705,-0.44135135,0.13560084
128,PROT,623,10,macrophage,0.37241068,0.17729074,-0.023021623
128,PROT,624,12,monocyte,0.57840854,0.006430311,-0.036410112
128,PROT,625,10,macrophage,0.5070212,0.061633326,-0.029636223
128,PROT,626,10,macrophage,0.38418213,0.15997401,-0.040328693
128,PROT,627,12,monocyte,0.76383054,-0.44845372,0.12772684
128,PROT,628,12,monocyte,0.76145065,-0.43285337,0.13307536
128,PROT,629,10,macrophage,0.32981324,0.2663887,-0.07373902
128,PROT,630,12,monocyte,0.7454536,-0.4593233,0.12806694
128,PROT,631,12,monocyte,0.7544826,-0.45250756,0.13491581
128,PROT,632,10,macrophage,0.36538267,0.16420072,-0.06269942
128,PROT,633,10,macrophage,0.3713225,0.16170442,-0.05242798
128,PROT,634,10,macrophage,0.49135756,0.07236221,-0.0052449144
128,PROT,635,12,monocyte,0.83647513,-0.5298478,0.16573316
128,PROT,636,12,monocyte,0.74847925,-0.44110075,0.12688698
128,PROT,637,12,monocyte,0.7583122,-0.42460868,0.1349431
128,PROT,638,12,monocyte,0.7603152,-0.43871304,0.110196784
128,PROT,639,12,monocyte,0.8182373,-0.52205473,0.12849091
128,PROT,640,12,monocyte,0.75278026,-0.4368043,0.1392171
128,PROT,641,10,macrophage,0.3725491,0.18920541,-0.04036242
128,PROT,642,10,macrophage,0.37181264,0.16989857,-0.05063079
128,PROT,643,12,monocyte,0.76646745,-0.4335831,0.13088478
128,PROT,644,10,macrophage,0.32165176,0.25595444,-0.0810546
128,PROT,645,12,monocyte,0.7638851,-0.4311425,0.13870323
128,PROT,646,10,macrophage,0.3840048,0.15416023,-0.059532735
128,PROT,647,12,monocyte,0.7560519,-0.449948,0.12750666
128,PROT,648,12,monocyte,0.7428944,-0.3078079,0.07657817
128,PROT,649,12,monocyte,0.8406365,-0.52576935,0.1352621
128,PROT,650,12,monocyte,0.8165842,-0.52929294,0.11217812
128,PROT,651,12,monocyte,0.76625127,-0.4402168,0.125585
128,PROT,652,10,macrophage,0.3626019,0.17352667,-0.039814938
128,PROT,653,12,monocyte,0.83442664,-0.5267342,0.15968604
128,PROT,654,12,monocyte,0.7579348,-0.45690736,0.10833478
128,PROT,655,12,monocyte,0.75665754,-0.42971596,0.1396271
128,PROT,656,12,monocyte,0.74520445,-0.44519544,0.11810243
128,PROT,657,12,monocyte,0.7543221,-0.45376563,0.13452606
128,PROT,658,10,macrophage,0.3851741,0.14024901,-0.0477609
128,PROT,659,12,monocyte,0.75592136,-0.4366049,0.13541685
128,PROT,660,10,macrophage,0.3589811,0.22142097,-0.065086156
128,PROT,661,12,monocyte,0.75422,-0.43980563,0.1362758
128,PROT,662,12,monocyte,0.8217186,-0.52919936,0.16442408
128,PROT,663,12,monocyte,0.73952496,-0.45460778,0.11711857
128,PROT,664,12,monocyte,0.859089,-0.5215036,0.14313862
128,PROT,665,12,monocyte,0.75535214,-0.43001786,0.1374156
128,PROT,666,12,monocyte,0.8510208,-0.48752838,0.15933074
128,PROT,667,12,monocyte,0.7638905,-0.44730106,0.12542179
128,PROT,668,12,monocyte,0.83513755,-0.5225447,0.15529692
